time_ps,eta_A,abs_eta_A,running_mean_A,running_abs_mean_A
10.640000,0.77561323,0.77561323,1.00682022,1.00682022
10.680000,0.77135988,0.77135988,1.00594164,1.00594164
10.720000,0.76718667,0.76718667,1.00505407,1.00505407
10.760000,0.75754891,0.75754891,1.00413739,1.00413739
10.800000,0.75040714,0.75040714,1.00320111,1.00320111
10.840000,0.74393928,0.74393928,1.00224794,1.00224794
10.880000,0.74743125,0.74743125,1.00131455,1.00131455
10.920000,0.74643712,0.74643712,1.00038434,1.00038434
10.960000,0.75324547,0.75324547,0.99948565,0.99948565
11.000000,0.77247878,0.77247878,0.99866317,0.99866317
11.040000,0.77987686,0.77987686,0.99787332,0.99787332
11.080000,0.79903394,0.79903394,0.99715807,0.99715807
11.120000,0.81512797,0.81512797,0.99650564,0.99650564
11.160000,0.82237776,0.82237776,0.99588375,0.99588375
11.200000,0.81734758,0.81734758,0.99524839,0.99524839
11.240000,0.81124066,0.81124066,0.99459588,0.99459588
11.280000,0.79695300,0.79695300,0.99389750,0.99389750
11.320000,0.81405431,0.81405431,0.99326425,0.99326425
11.360000,0.81436261,0.81436261,0.99263652,0.99263652
11.400000,0.80093212,0.80093212,0.99196623,0.99196623
11.440000,0.78974764,0.78974764,0.99126163,0.99126163
11.480000,0.76886177,0.76886177,0.99048941,0.99048941
11.520000,0.77072092,0.77072092,0.98972896,0.98972896
11.560000,0.75874739,0.75874739,0.98893248,0.98893248
11.600000,0.74819313,0.74819313,0.98810519,0.98810519
11.640000,0.73621501,0.73621501,0.98724256,0.98724256
11.680000,0.72414295,0.72414295,0.98634460,0.98634460
11.720000,0.71313722,0.71313722,0.98541533,0.98541533
11.760000,0.71078747,0.71078747,0.98448439,0.98448439
11.800000,0.70870547,0.70870547,0.98355270,0.98355270
11.840000,0.70657805,0.70657805,0.98262013,0.98262013
11.880000,0.71184779,0.71184779,0.98171149,0.98171149
11.920000,0.71445478,0.71445478,0.98081766,0.98081766
11.960000,0.72283879,0.72283879,0.97995773,0.97995773
12.000000,0.71425484,0.71425484,0.97907500,0.97907500
12.040000,0.71777942,0.71777942,0.97820978,0.97820978
12.080000,0.72819871,0.72819871,0.97738466,0.97738466
12.120000,0.74885342,0.74885342,0.97663291,0.97663291
12.160000,0.74451119,0.74451119,0.97587186,0.97587186
12.200000,0.74710425,0.74710425,0.97512425,0.97512425
12.240000,0.73620697,0.73620697,0.97434602,0.97434602
12.280000,0.70898973,0.70898973,0.97348447,0.97348447
12.320000,0.68802036,0.68802036,0.97256064,0.97256064
12.360000,0.66174774,0.66174774,0.97155802,0.97155802
12.400000,0.63306576,0.63306576,0.97046962,0.97046962
12.440000,0.64302712,0.64302712,0.96942012,0.96942012
12.480000,0.65251183,0.65251183,0.96840764,0.96840764
12.520000,0.63805077,0.63805077,0.96735554,0.96735554
12.560000,0.65086887,0.65086887,0.96635082,0.96635082
12.600000,0.65602740,0.65602740,0.96536879,0.96536879
12.640000,0.67512706,0.67512706,0.96445320,0.96445320
12.680000,0.68087237,0.68087237,0.96356144,0.96356144
12.720000,0.67145973,0.67145973,0.96264576,0.96264576
12.760000,0.65529461,0.65529461,0.96168528,0.96168528
12.800000,0.64673328,0.64673328,0.96070413,0.96070413
12.840000,0.64728418,0.64728418,0.95973077,0.95973077
12.880000,0.64951816,0.64951816,0.95877036,0.95877036
12.920000,0.65140688,0.65140688,0.95782171,0.95782171
12.960000,0.63275829,0.63275829,0.95682151,0.95682151
13.000000,0.60157408,0.60157408,0.95573180,0.95573180
13.040000,0.60461795,0.60461795,0.95465805,0.95465805
13.080000,0.60390091,0.60390091,0.95358867,0.95358867
13.120000,0.60343216,0.60343216,0.95252437,0.95252437
13.160000,0.58851423,0.58851423,0.95142131,0.95142131
13.200000,0.59127232,0.59127232,0.95033324,0.95033324
13.240000,0.56955514,0.56955514,0.94918632,0.94918632
13.280000,0.56031026,0.56031026,0.94801852,0.94801852
13.320000,0.56154541,0.56154541,0.94686142,0.94686142
13.360000,0.54444322,0.54444322,0.94566017,0.94566017
13.400000,0.53235782,0.53235782,0.94443010,0.94443010
13.440000,0.52606232,0.52606232,0.94318866,0.94318866
13.480000,0.53041396,0.53041396,0.94196743,0.94196743
13.520000,0.54193492,0.54193492,0.94078739,0.94078739
13.560000,0.55639759,0.55639759,0.93965684,0.93965684
13.600000,0.57902860,0.57902860,0.93859927,0.93859927
13.640000,0.61063403,0.61063403,0.93764031,0.93764031
13.680000,0.62885991,0.62885991,0.93674008,0.93674008
13.720000,0.62776906,0.62776906,0.93584191,0.93584191
13.760000,0.62657198,0.62657198,0.93494547,0.93494547
13.800000,0.63149932,0.63149932,0.93406846,0.93406846
13.840000,0.64207500,0.64207500,0.93322698,0.93322698
13.880000,0.65363543,0.65363543,0.93242356,0.93242356
13.920000,0.64628169,0.64628169,0.93160366,0.93160366
13.960000,0.63957984,0.63957984,0.93076931,0.93076931
14.000000,0.65128196,0.65128196,0.92997305,0.92997305
14.040000,0.66917204,0.66917204,0.92923214,0.92923214
14.080000,0.67925191,0.67925191,0.92852398,0.92852398
14.120000,0.69578371,0.69578371,0.92786652,0.92786652
14.160000,0.69999054,0.69999054,0.92722462,0.92722462
14.200000,0.72035002,0.72035002,0.92664351,0.92664351
14.240000,0.72284664,0.72284664,0.92607265,0.92607265
14.280000,0.70445409,0.70445409,0.92545360,0.92545360
14.320000,0.68186386,0.68186386,0.92477508,0.92477508
14.360000,0.65789846,0.65789846,0.92403376,0.92403376
14.400000,0.64455145,0.64455145,0.92325957,0.92325957
14.440000,0.66561367,0.66561367,0.92254784,0.92254784
14.480000,0.68115272,0.68115272,0.92188284,0.92188284
14.520000,0.70082305,0.70082305,0.92127553,0.92127553
14.560000,0.71254966,0.71254966,0.92070368,0.92070368
14.600000,0.71893314,0.71893314,0.92015239,0.92015239
14.640000,0.68712361,0.68712361,0.91951744,0.91951744
14.680000,0.66324196,0.66324196,0.91882104,0.91882104
14.720000,0.63807771,0.63807771,0.91806021,0.91806021
14.760000,0.61970499,0.61970499,0.91725385,0.91725385
14.800000,0.60745533,0.60745533,0.91641881,0.91641881
14.840000,0.60768494,0.60768494,0.91558888,0.91558888
14.880000,0.59923919,0.59923919,0.91474076,0.91474076
14.920000,0.59296209,0.59296209,0.91388039,0.91388039
14.960000,0.58942947,0.58942947,0.91301519,0.91301519
15.000000,0.61170535,0.61170535,0.91221383,0.91221383
15.040000,0.63692350,0.63692350,0.91148362,0.91148362
15.080000,0.67244302,0.67244302,0.91085124,0.91085124
15.120000,0.67028544,0.67028544,0.91021650,0.91021650
15.160000,0.67087289,0.67087289,0.90958665,0.90958665
15.200000,0.67261320,0.67261320,0.90896467,0.90896467
15.240000,0.66042997,0.66042997,0.90831405,0.90831405
15.280000,0.66217455,0.66217455,0.90767139,0.90767139
15.320000,0.66686992,0.66686992,0.90704430,0.90704430
15.360000,0.66350294,0.66350294,0.90641173,0.90641173
15.400000,0.67168011,0.67168011,0.90580362,0.90580362
15.440000,0.68029445,0.68029445,0.90522091,0.90522091
15.480000,0.68480862,0.68480862,0.90465283,0.90465283
15.520000,0.69484449,0.69484449,0.90411348,0.90411348
15.560000,0.71996737,0.71996737,0.90364131,0.90364131
15.600000,0.72225108,0.72225108,0.90317740,0.90317740
15.640000,0.73259019,0.73259019,0.90274222,0.90274222
